spot_id,name_ja,name_it,city,day,category,lat,lng,reservation_required,official_url,gmaps_url,recommended_item_or_feature,page_link
mxp_airport,ミラノ・マルペンサ空港,Aeroporto di Milano-Malpensa,Milan,Day 1,hotel,45.63,8.723,不要（ツアー送迎バス利用）,https://www.milanomalpensa-airport.com/,https://maps.google.com/?q=Milan+Malpensa+Airport,北イタリアの玄関口。到着ロビー出口でツアー添乗員・専用バスと合流,day1.html
hotel_milan,ホテル（ミラノ近郊宿泊地）,Hotel Milan Area (Superior Class),Milan,Day 1,hotel,45.4654,9.1859,ツアー予約済（ダブルベッド確約）,https://www.his-j.com/,https://maps.google.com/?q=Milan+Hotel,ハネムーン特典ダブルベッド確約。フライト後の疲れを癒やす快適な客室,day1.html
milano_duomo,ミラノ大聖堂 (ドゥオーモ),Duomo di Milano,Milan,Day 2,sightseeing,45.4642,9.1919,要（ツアー外入場時）,https://www.duomomilano.it/,https://maps.google.com/?q=Duomo+di+Milano,135本の尖塔がそびえる世界最大級のゴシック建築。大聖堂前広場でのツーショット撮影は必須,day2.html
galleria_vittorio,ヴィットーリオ・エマヌエーレ2世のガッレリア,Galleria Vittorio Emanuele II,Milan,Day 2,sightseeing,45.4658,9.19,不要（見学自由）,https://www.comune.milano.it/,https://maps.google.com/?q=Galleria+Vittorio+Emanuele+II+Milano,ガラス天井と美しいモザイク床。床にある牡牛のモザイクの上で踵をつけて3回転すると幸福が訪れるというハネムーンジンクス！,day2.html
teatro_scala,スカラ座 (歌劇場),Teatro alla Scala,Milan,Day 2,sightseeing,45.4674,9.1895,要（博物館・公演入場時）,https://www.teatroallascala.org/,https://maps.google.com/?q=Teatro+alla+Scala+Milano,オペラの殿堂。合唱・クラシック音楽好きの健太さんに特別な感動を与える歴史的劇場,day2.html
castello_sforzesco,スフォルツェスコ城,Castello Sforzesco,Milan,Day 2,sightseeing,45.4705,9.1793,不要（中庭無料・博物館要）,https://www.milanocastello.it/,https://maps.google.com/?q=Castello+Sforzesco+Milano,ミケランジェロ最後の未完の傑作『ロンダニーニのピエタ』が収蔵されたルネサンスの城塞,day2.html
luini_panzerotti,ルイーニ (名物パンツェロッティ),Luini Panzerotti,Milan,Day 2,dining,45.4656,9.1925,不要（テイクアウト行列店）,https://www.luini.it/,https://maps.google.com/?q=Luini+Panzerotti+Milano,1888年創業の老舗。熱々とろ〜りモッツァレラ＆トマトの揚げ包みピザ（Panzerotto Pomodoro e Mozzarella）は絶品！,free-meal-guide.html
rinascente_milan,リナシェンテ ミラノ旗艦店,Rinascente Milano Piazza Duomo,Milan,Day 2,souvenir,45.4651,9.1932,不要,https://www.rinascente.it/,https://maps.google.com/?q=Rinascente+Milano+Piazza+Duomo,最上階フードホールには高級オリーブオイル、バルサミコ酢、イタリアチョコが勢揃い。ドゥオーモのテラスを眺めるカフェも,souvenir-guide.html
verona_arena,アレーナ・ディ・ヴェローナ (古代円形闘技場),Arena di Verona,Verona,Day 2,sightseeing,45.439,10.9944,不要（外観見学）,https://www.arena.it/,https://maps.google.com/?q=Arena+di+Verona,紀元1世紀建造の古代ローマ円形闘技場。夏期は世界最高峰の野外オペラ祭の舞台となる音楽の聖地,day2.html
casa_giulietta,ジュリエットの家,Casa di Giulietta,Verona,Day 2,sightseeing,45.4419,10.9984,不要（中庭見学）/ 内部要,https://casadigiulietta.comune.verona.it/,https://maps.google.com/?q=Casa+di+Giulietta+Verona,シェイクスピア『ロミオとジュリエット』の舞台。中庭にあるジュリエット像の右胸に触れると「永遠の愛と幸運」がもたらされるハネムーン必訪スポット！,day2.html
piazza_erbe,エルベ広場,Piazza delle Erbe,Verona,Day 2,sightseeing,45.4429,10.9972,不要,https://www.visitverona.it/,https://maps.google.com/?q=Piazza+delle+Erbe+Verona,かつてのローマ時代のフォーラム跡。フレスコ画が残るマッツァンティの家や露店が立ち並ぶ活気ある美しい広場,day2.html
hotel_venice,ホテル（ベネチア・メストレ宿泊地）,Hotel Venice Mestre Area (Superior Class),Venice,Day 2,hotel,45.4831,12.2355,ツアー予約済（ダブルベッド確約）,https://www.his-j.com/,https://maps.google.com/?q=Venice+Mestre+Hotel,Day 2夕食（ツアーディナー）会場＆宿泊ホテル。快適な客室でベネチア本島観光へ向けて休養,day2.html
piazza_san_marco,サン・マルコ広場,Piazza San Marco,Venice,Day 3,sightseeing,45.4342,12.3385,不要（散策自由）,https://www.comune.venezia.it/,https://maps.google.com/?q=Piazza+San+Marco+Venezia,ナポレオンが「世界で最も美しい客間」と称賛した大広場。回廊の楽団による優雅な生演奏が響きます,day3.html
basilica_san_marco,サン・マルコ寺院,Basilica di San Marco,Venice,Day 3,sightseeing,45.4345,12.3397,ツアー入場または現地要,http://www.basilicasanmarco.it/,https://maps.google.com/?q=Basilica+di+San+Marco+Venezia,ビザンティン建築の傑作。黄金に輝く天井モザイク「黄金のパラ・ドーロ」は息をのむ美しさ,day3.html
palazzo_ducale,ドゥカーレ宮殿,Palazzo Ducale,Venice,Day 3,sightseeing,45.4337,12.3404,要（入場時）,https://palazzoducale.visitmuve.it/,https://maps.google.com/?q=Palazzo+Ducale+Venezia,かつてのベネチア共和国総督邸。ティントレット作の世界最大級の油彩画『天国』が飾られた大評議会の間は圧巻,day3.html
