item_id,category,name_ja,importance,description,mime_recommendation,packed_by_default
sec_01,security,首下げ・腰巻きセキュリティポーチ,必須（三種の神器①）,パスポート・予備クレカ・高額紙幣を入れて服の下に隠す,服の下に隠して外から見えないように着用。人前で出し入れしないのが鉄則,yes
sec_02,security,スマホショルダーストラップ（斜めがけ）,必須（三種の神器②）,写真撮影時や歩行中のひったくり・落下防止,斜めがけにして上からジャケットを羽織るとさらに安全。手持ちのまま歩かない,yes
sec_03,security,ダイヤル式南京錠 / ワイヤーロック,必須（三種の神器③）,リュックのファスナー固定やホテル・列車内での荷物固定,移動中リュックのチャック同士をロックしておくだけでスリの標的から外れます,yes
sec_04,security,スキミング防止カードケース,推奨,満員電車や人混みでの非接触スキミング防止,クレジットカードやICカードを安全に保護,yes
sec_05,security,ダミー財布（少額用小銭入れ）,推奨,万が一の強盗対策＆日々の少額決済用,€10〜20の小銭だけを入れてポケットに。メインの財布は絶対に見せない,yes
sec_06,security,ファスナー付き斜めがけバッグ / サコッシュ,必須,街歩き用のメインバッグ,必ず体の前（胸元）に抱えて持つ。背中に背負うリュックはスリの格好の餌食,yes
clo_01,clothing,ヒートテックインナー（極暖・超極暖）,必須,11月中旬の朝晩（5〜9℃）冷え込み対策（3〜4着）,石畳の冷え込みは底冷えします。重ね着で日中と朝晩の温度差を調整,yes
clo_02,clothing,ウルトラライトダウン（インナーダウン）,必須,コートの下に着込める軽量防寒着,コンパクトに畳んでバッグに入れておけば、夕方の急な冷え込みも安心,yes
clo_03,clothing,ウールコート / 防風ジャケット,必須,街歩き・記念写真映えするアウター,教会見学やレストランにもふさわしい綺麗めなアウターがおすすめ,yes
clo_04,clothing,歩きやすいスニーカー（履き慣れたもの2足）,必須,石畳の街歩き用（1日1〜2万歩歩きます）,雨対策に防水スプレーをかけておく。石畳で滑りにくいソールが必須,yes
clo_05,clothing,防寒・教会用大判ストール / マフラー,必須,首元の防寒 ＆ 教会の肌隠し（肩・露出防止）,教会ではノースリーブや露出厳禁。ストールが1枚あれば即座に対応可能,yes
clo_06,clothing,折りたたみ傘（軽量・耐風）,必須,11月は秋の雨期にあたるため必携,イタリアの雨は急に降って止むことが多いので常に携帯を,yes
