spot_id,name_ja,name_it,city,day,category,lat,lng,reservation_required,official_url,gmaps_url,recommended_item_or_feature,mime_tip,page_link
mxp_airport,ミラノ・マルペンサ空港,Aeroporto di Milano-Malpensa,Milan,Day 1,hotel,45.63,8.723,不要（ツアー送迎バス利用）,https://www.milanomalpensa-airport.com/,https://maps.google.com/?q=Milan+Malpensa+Airport,北イタリアの玄関口。到着ロビー出口でツアー添乗員・専用バスと合流,【みめTip】入国審査後は預け荷物受取へ直行。空港内の両替所はレートが悪いので日本国内またはクレジットカードキャッシングがおすすめ,day1.html
hotel_milan,ホテル（ミラノ近郊宿泊地）,Hotel Milan Area (Superior Class),Milan,Day 1,hotel,45.4654,9.1859,ツアー予約済（ダブルベッド確約）,https://www.his-j.com/,https://maps.google.com/?q=Milan+Hotel,ハネムーン特典ダブルベッド確約。フライト後の疲れを癒やす快適な客室,【みめTip】チェックイン後はシャワーを浴びて即就寝。お湯の出が悪い時はフロントへ早めに連絡を,day1.html
hotel_venice,ホテル（ベネチア・メストレ宿泊地）,Hotel Venice Mestre Area (Superior Class),Venice,Day 2,hotel,45.4831,12.2355,ツアー予約済（ダブルベッド確約）,https://www.his-j.com/,https://maps.google.com/?q=Venice+Mestre+Hotel,Day 2夕食（ツアーディナー）会場＆宿泊ホテル。快適な客室で休養,【みめTip】メストレ地区のホテルは部屋が広めで快適。明日のベネチア本島歩きに備えて足を休めましょう,day2.html
hotel_florence,ホテル（フィレンツェ宿泊地）,Hotel Florence Area (Superior Class),Florence,Day 3,hotel,43.776,11.248,ツアー予約済（連泊・ダブルベッド確約）,https://www.his-j.com/,https://maps.google.com/?q=Florence+Hotel,フィレンツェ2連泊の拠点。荷物を広げたままゆったりと観光できる快適ホテル,【みめTip】2連泊なのでスーツケースを整理し、翌日のピサや市内散策に必要な身軽な手荷物を準備しましょう,day4.html
hotel_rome,ホテル（ローマ・テルミニ駅周辺宿泊地）,Hotel Rome Termini Area (Superior Class),Rome,Day 5,hotel,41.9014,12.5008,ツアー予約済（2連泊・ダブルベッド確約）,https://www.his-j.com/,https://maps.google.com/?q=Rome+Termini+Hotel,観光や自由行動に抜群に便利なテルミニ駅周辺ホテル。ゆったり2連泊,【みめTip】テルミニ駅周辺は夜間の治安にやや注意。ホテルへの出入り時は手荷物を前に抱え、人通りの多い大通りを歩きましょう,day5.html
fco_airport,ローマ・フィウミチーノ空港,Aeroporto di Roma-Fiumicino (FCO),Rome,Day 7,hotel,41.7999,12.2462,不要（ツアー送迎バス利用）,https://www.adr.it/fiumicino,https://maps.google.com/?q=Rome+Fiumicino+Airport,イタリア出国・免税手続き（Tax Refund）カウンター。搭乗ゲート周辺にも上質な免税ブティック充実,【みめTip】免税手続きはチェックイン前でもOtello端末で可能。預け荷物に入れる液体物（ワイン等）は免税手続き後にスーツケースへ！,day7.html
kix_airport,関西国際空港 (KIX),Kansai International Airport,Osaka,Day 8,hotel,34.4347,135.244,不要,https://www.kansai-airport.or.jp/,https://maps.google.com/?q=Kansai+International+Airport,お帰りなさい！8日間の感動の新婚旅行の終着点。お二人の新しい日常へ,【みめTip】税関電子申告ゲート（Visit Japan Web）を利用すると手荷物受取後の通過がスムーズです,day8.html
milano_duomo,ミラノ大聖堂 (ドゥオーモ),Duomo di Milano,Milan,Day 2,sightseeing,45.4642,9.1919,要（ツアー外入場時）,https://www.duomomilano.it/,https://maps.google.com/?q=Duomo+di+Milano,135本の尖塔がそびえる世界最大級のゴシック建築。大聖堂前広場でのツーショット撮影は必須,【みめTip】肌の露出（肩・膝）は入場拒否されます！ストールや羽織りものを必ず持参。大聖堂前広場でのハトの餌やり押し売りには絶対近づかないこと,day2.html
galleria_vittorio,ヴィットーリオ・エマヌエーレ2世のガッレリア,Galleria Vittorio Emanuele II,Milan,Day 2,sightseeing,45.4658,9.19,不要（見学自由）,https://www.comune.milano.it/,https://maps.google.com/?q=Galleria+Vittorio+Emanuele+II+Milano,ガラス天井と美しいモザイク床。床の牡牛モザイクで踵を軸に3回転すると幸運が訪れるハネムーンジンクス！,【みめTip】牡牛のモザイク（トリノの紋章）は中央の十字路床面にあります。回転中の写真をパートナーに連写してもらいましょう！,day2.html
teatro_scala,スカラ座 (歌劇場),Teatro alla Scala,Milan,Day 2,sightseeing,45.4674,9.1895,要（博物館・公演入場時）,https://www.teatroallascala.org/,https://maps.google.com/?q=Teatro+alla+Scala+Milano,オペラの殿堂。合唱・クラシック音楽好きの健太さんに特別な感動を与える歴史的劇場,【みめTip】外観は控えめですが内部の赤と金のボックス席は圧巻。隣のスカラ座広場にはレオナルド・ダ・ヴィンチ像があります,day2.html
